                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.58873,                0.63076,                0.72587,                 1.0133,                0.61019,                0.52632,                0.58448,                0.34187,                 0.9542,                0.47368,                0.63779,                0.40602,                  1.735,                 4.6313,                 1.5269,                 2.4409,              0.0011288,              0.0011288,              0.0011288
                     25,                0.58425,                0.61305,                0.69724,                0.98827,                0.83681,                0.63158,                0.77412,                0.42233,                0.83681,                0.63158,                0.69834,                0.40681,                 1.5912,                 4.1105,                 1.3409,                 2.2577,              0.0010892,              0.0010892,              0.0010892
                     26,                0.54777,                0.63697,                0.71655,                 0.9986,                0.92804,                0.68421,                 0.8315,                0.51051,                0.92804,                0.68421,                0.77831,                0.45418,                 1.3583,                 3.6593,                 1.2792,                 2.0969,              0.0010496,              0.0010496,              0.0010496
                     27,                0.57142,                0.66815,                0.70551,                 1.0033,                0.74351,                0.68421,                0.74823,                0.44933,                0.84474,                0.57316,                0.66662,                0.34455,                 1.3086,                 4.1076,                 1.4937,                 2.0148,                0.00101,                0.00101,                0.00101
                     28,                0.57907,                0.66189,                0.69383,                 1.0482,                0.72015,                0.54253,                0.65008,                0.32267,                0.78916,                0.59164,                0.65901,                0.34868,                 1.5824,                 3.7196,                 1.7498,                 2.1795,              0.0009704,              0.0009704,              0.0009704
                     29,                0.57013,                 0.6573,                0.73554,                  1.031,                0.85713,                0.63154,                0.70306,                0.36548,                0.78442,                0.63158,                0.62206,                0.36554,                 1.7434,                  3.718,                  1.673,                 2.2951,              0.0009308,              0.0009308,              0.0009308
                     30,                0.48302,                0.58445,                0.63938,                0.96612,                0.71167,                0.63158,                 0.6469,                0.33661,                0.73114,                0.57287,                0.56023,                0.29824,                 1.7481,                 4.2969,                 1.6061,                 2.3546,              0.0008912,              0.0008912,              0.0008912
                     31,                0.53923,                0.60974,                0.66233,                 1.0032,                0.80875,                0.66841,                 0.7213,                0.34002,                0.79329,                0.63158,                0.65011,                0.33568,                 1.7157,                 4.3638,                 1.5727,                 2.3443,              0.0008516,              0.0008516,              0.0008516
                     32,                0.53108,                0.69435,                0.68956,                 0.9835,                0.89637,                0.63158,                0.76332,                0.45637,                0.85425,                0.61771,                0.72086,                0.40438,                 1.5133,                 4.3124,                 1.3117,                 2.1903,               0.000812,               0.000812,               0.000812
                     33,                0.49308,                0.65016,                0.60328,                0.95781,                0.92217,                0.68421,                0.79934,                0.49881,                0.92217,                0.68421,                0.72862,                0.48823,                 1.3262,                 4.0203,                 1.2252,                  1.972,              0.0007724,              0.0007724,              0.0007724
                     34,                0.50406,                0.60864,                0.61194,                0.98799,                0.80975,                0.73684,                0.76105,                 0.4999,                0.80975,                0.73684,                0.74549,                0.49385,                 1.2328,                 3.7019,                 1.2887,                 1.8784,              0.0007328,              0.0007328,              0.0007328
                     35,                0.49277,                0.58438,                0.56915,                0.96531,                0.79512,                0.68421,                0.70038,                0.45119,                0.85052,                0.63158,                0.65976,                0.43955,                 1.3134,                 3.8371,                 1.4426,                  1.986,              0.0006932,              0.0006932,              0.0006932
